Text#Image#Folio
urn:cts:greekLit:tlg5026.msAil.hmt:22.1#urn:cite2:hmt:vaimg.2017a:VA282RN_0452@0.359,0.5998,0.055,0.0188#urn:cite2:hmt:msA.2017a:282r
urn:cts:greekLit:tlg5026.msAil.hmt:22.2#urn:cite2:hmt:vaimg.2017a:VA282VN_0784@0.605,0.5826,0.088,0.0113#urn:cite2:hmt:msA.2017a:282v
urn:cts:greekLit:tlg5026.msAil.hmt:22.3#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.484,0.3994,0.084,0.0135#urn:cite2:hmt:msA.2017a:283r
urn:cts:greekLit:tlg5026.msAil.hmt:22.4#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.493,0.4159,0.063,0.0158#urn:cite2:hmt:msA.2017a:283r
urn:cts:greekLit:tlg5026.msAil.hmt:22.5#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.349,0.4347,0.032,0.0135#urn:cite2:hmt:msA.2017a:283r
urn:cts:greekLit:tlg5026.msAil.hmt:22.6#urn:cite2:hmt:vaimg.2017a:VA283VN_0785@0.791,0.2125,0.05,0.018#urn:cite2:hmt:msA.2017a:283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.7#urn:cite2:hmt:vaimg.2017a:VA283VN_0785@0.561,0.2365,0.069,0.0143#urn:cite2:hmt:msA.2017a:283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.8#urn:cite2:hmt:vaimg.2017a:VA283VN_0785@0.726,0.2387,0.086,0.015#urn:cite2:hmt:msA.2017a:283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.9#urn:cite2:hmt:vaimg.2017a:VA283VN_0785@0.633,0.3731,0.049,0.0135#urn:cite2:hmt:msA.2017a:283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.10#urn:cite2:hmt:vaimg.2017a:VA283VN_0785@0.509,0.3949,0.052,0.0135#urn:cite2:hmt:msA.2017a:283v
